,Rndrng_NPI,Tot_Benes,Tot_Mdcr_Stdzd_Amt,Benef_Labels,Payment_Labels,Label3,Rndrng_Prvdr_Type
508,1023006079,1831,596264.31,BeneficiarySegment3,PaymentSegment1,2,Ambulatory Surgical Center
518,1003077447,270,506945.42000000004,BeneficiarySegment5,PaymentSegment1,2,Ambulance Service Provider
520,1013901693,4990,456059.02,BeneficiarySegment1,PaymentSegment1,2,Urology
570,1003244880,3780,723524.46,BeneficiarySegment2,PaymentSegment1,2,Clinical Laboratory
573,1003804246,3857,389820.82,BeneficiarySegment2,PaymentSegment1,2,Cardiology
596,1003861576,5853,552671.96,BeneficiarySegment1,PaymentSegment1,2,Ophthalmology
615,1013032713,6619,393199.9099999999,BeneficiarySegment1,PaymentSegment1,2,Hematology-Oncology
686,1013969856,2716,762547.51,BeneficiarySegment2,PaymentSegment1,2,Nephrology
723,1003002809,6392,721175.79,BeneficiarySegment1,PaymentSegment1,2,Diagnostic Radiology
812,1013119262,4574,577035.8899999999,BeneficiarySegment1,PaymentSegment1,2,Ophthalmology
830,1003809484,2727,497453.70000000007,BeneficiarySegment2,PaymentSegment1,2,Orthopedic Surgery
851,1013004027,7243,418890.75000000006,BeneficiarySegment1,PaymentSegment1,2,Physician Assistant
899,1023058369,4537,396217.18,BeneficiarySegment1,PaymentSegment1,2,Orthopedic Surgery
938,1013911874,6219,594428.31,BeneficiarySegment1,PaymentSegment1,2,Pediatric Medicine
1018,1013015270,4485,450752.40999999986,BeneficiarySegment1,PaymentSegment1,2,Pulmonary Disease
1046,1003259532,1377,393186.97,BeneficiarySegment3,PaymentSegment1,2,Vascular Surgery
1083,1013908367,2294,426099.79999999993,BeneficiarySegment3,PaymentSegment1,2,Ambulance Service Provider
1089,1023003290,5638,469942.71,BeneficiarySegment1,PaymentSegment1,2,Ophthalmology
1131,1013247915,1453,449863.29000000004,BeneficiarySegment3,PaymentSegment1,2,Cardiology
1161,1003125568,4922,646905.98,BeneficiarySegment1,PaymentSegment1,2,Ambulance Service Provider
1167,1003976416,4706,441551.49999999994,BeneficiarySegment1,PaymentSegment1,2,Ophthalmology
1191,1003909789,1379,544506.9400000001,BeneficiarySegment3,PaymentSegment1,2,Ambulatory Surgical Center
1200,1013912708,3724,448359.82,BeneficiarySegment2,PaymentSegment1,2,Cardiology
1239,1013988088,1763,621763.9000000001,BeneficiarySegment3,PaymentSegment1,2,Vascular Surgery
1266,1023013117,2284,429636.1000000001,BeneficiarySegment3,PaymentSegment1,2,Radiation Oncology
1297,1003257650,3940,615840.55,BeneficiarySegment2,PaymentSegment1,2,Clinical Laboratory
1301,1003890716,5704,386068.4599999999,BeneficiarySegment1,PaymentSegment1,2,Orthopedic Surgery
1340,1013973692,5435,447655.20999999996,BeneficiarySegment1,PaymentSegment1,2,Dermatology
1386,1003913815,5898,419901.4200000001,BeneficiarySegment1,PaymentSegment1,2,Urology
1431,1013982586,2266,697823.04,BeneficiarySegment3,PaymentSegment1,2,Dermatology
1459,1023016656,5108,607351.2999999998,BeneficiarySegment1,PaymentSegment1,2,Ophthalmology
1484,1013934967,5873,614829.2299999999,BeneficiarySegment1,PaymentSegment1,2,Dermatology
1510,1003173154,2940,461551.45000000007,BeneficiarySegment2,PaymentSegment1,2,Dermatology
1546,1013997360,3661,453608.09000000014,BeneficiarySegment2,PaymentSegment1,2,Cardiology
1594,1003893454,4839,458880.6400000001,BeneficiarySegment1,PaymentSegment1,2,Ophthalmology
1616,1003976929,1057,438043.86000000004,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
1640,1013907435,5303,509498.74000000005,BeneficiarySegment1,PaymentSegment1,2,Diagnostic Radiology
1654,1023007739,1493,418217.76,BeneficiarySegment3,PaymentSegment1,2,Radiation Oncology
1666,1003081985,3160,628986.2200000002,BeneficiarySegment2,PaymentSegment1,2,Interventional Cardiology
1720,1023015989,1657,554454.54,BeneficiarySegment3,PaymentSegment1,2,Ambulatory Surgical Center
1730,1013912906,1935,457497.35000000003,BeneficiarySegment3,PaymentSegment1,2,Dermatology
1762,1013914092,2188,495518.14,BeneficiarySegment3,PaymentSegment1,2,Radiation Oncology
1789,1023009263,2325,498846.4799999999,BeneficiarySegment3,PaymentSegment1,2,Cardiac Surgery
1817,1013908292,5517,405669.77,BeneficiarySegment1,PaymentSegment1,2,Diagnostic Radiology
1888,1013927243,4216,397481.33,BeneficiarySegment2,PaymentSegment1,2,Diagnostic Radiology
1902,1013143726,3876,395102.71,BeneficiarySegment2,PaymentSegment1,2,Ophthalmology
1918,1003072893,2096,437036.26,BeneficiarySegment3,PaymentSegment1,2,Radiation Oncology
1947,1003292483,726,737611.4400000001,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
1958,1003853755,2774,527039.8000000002,BeneficiarySegment2,PaymentSegment1,2,Interventional Radiology
2015,1023010311,722,393096.62999999995,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
2023,1013093574,5244,429813.00999999995,BeneficiarySegment1,PaymentSegment1,2,Dermatology
2054,1013203462,4064,530024.7500000001,BeneficiarySegment2,PaymentSegment1,2,Dermatology
2095,1013991389,3568,512335.62999999995,BeneficiarySegment2,PaymentSegment1,2,Ambulance Service Provider
2101,1003816836,5293,402358.1699999999,BeneficiarySegment1,PaymentSegment1,2,Cardiology
2131,1003853250,4093,451068.15,BeneficiarySegment2,PaymentSegment1,2,Diagnostic Radiology
2168,1013970870,5672,443662.43,BeneficiarySegment1,PaymentSegment1,2,Dermatology
2194,1023050655,3980,396339.19,BeneficiarySegment2,PaymentSegment1,2,Ophthalmology
2225,1003893868,5041,692021.7400000002,BeneficiarySegment1,PaymentSegment1,2,Dermatology
2262,1013150267,926,405407.59,BeneficiarySegment4,PaymentSegment1,2,Vascular Surgery
2286,1013900331,6131,760393.9200000003,BeneficiarySegment1,PaymentSegment1,2,Diagnostic Radiology
2362,1013965276,7298,761687.13,BeneficiarySegment1,PaymentSegment1,2,Ophthalmology
2381,1013212927,1119,415142.94,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
2391,1013950120,4764,668134.53,BeneficiarySegment1,PaymentSegment1,2,Orthopedic Surgery
2428,1003878877,1419,517991.16000000015,BeneficiarySegment3,PaymentSegment1,2,Neurosurgery
2458,1003815580,3556,394287.25,BeneficiarySegment2,PaymentSegment1,2,Ophthalmology
2475,1013949601,6401,420804.89999999997,BeneficiarySegment1,PaymentSegment1,2,Cardiology
2515,1013949346,7353,555208.06,BeneficiarySegment1,PaymentSegment1,2,Dermatology
2558,1003918475,4641,690479.88,BeneficiarySegment1,PaymentSegment1,2,Ophthalmology
2574,1003888595,2386,741916.64,BeneficiarySegment3,PaymentSegment1,2,Ambulatory Surgical Center
2585,1003888710,2155,676980.85,BeneficiarySegment3,PaymentSegment1,2,Ambulatory Surgical Center
2595,1013951409,5167,572378.0400000002,BeneficiarySegment1,PaymentSegment1,2,Ophthalmology
2624,1003044322,512,672467.39,BeneficiarySegment4,PaymentSegment1,2,Vascular Surgery
2635,1013350339,235,439413.05,BeneficiarySegment5,PaymentSegment1,2,Ambulance Service Provider
2637,1003090093,4949,498995.92000000004,BeneficiarySegment1,PaymentSegment1,2,Diagnostic Radiology
2657,1003851726,4151,554922.0700000001,BeneficiarySegment2,PaymentSegment1,2,Diagnostic Radiology
2703,1013222926,772,431027.62000000005,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
2711,1013226877,549,491761.5499999998,BeneficiarySegment4,PaymentSegment1,2,Vascular Surgery
2730,1013917665,3391,428005.74000000005,BeneficiarySegment2,PaymentSegment1,2,Dermatology
2761,1013091958,6849,423530.2100000001,BeneficiarySegment1,PaymentSegment1,2,Dermatology
2793,1023008844,1873,404144.84,BeneficiarySegment3,PaymentSegment1,2,Dermatology
2822,1013956150,2655,486628.42,BeneficiarySegment2,PaymentSegment1,2,Ophthalmology
2830,1023016169,7391,394408.46,BeneficiarySegment1,PaymentSegment1,2,Dermatology
2858,1003914227,6219,431547.74,BeneficiarySegment1,PaymentSegment1,2,Cardiology
2906,1003845504,4751,409518.62,BeneficiarySegment1,PaymentSegment1,2,Urology
2946,1023050069,2311,465726.91999999987,BeneficiarySegment3,PaymentSegment1,2,Radiation Oncology
2988,1013960681,5473,733935.72,BeneficiarySegment1,PaymentSegment1,2,Independent Diagnostic Testing Facility (IDTF)
3003,1003855594,1213,688167.06,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
3015,1023007242,4467,431304.78,BeneficiarySegment1,PaymentSegment1,2,Dermatology
3056,1003142365,4767,419343.95000000007,BeneficiarySegment1,PaymentSegment1,2,Ophthalmology
3077,1013926039,4977,450203.09000000014,BeneficiarySegment1,PaymentSegment1,2,Cardiology
3123,1013980952,3691,437138.78,BeneficiarySegment2,PaymentSegment1,2,Orthopedic Surgery
3144,1013915784,3020,410725.84,BeneficiarySegment2,PaymentSegment1,2,Vascular Surgery
3175,1003245317,7062,415576.48999999993,BeneficiarySegment1,PaymentSegment1,2,Clinical Laboratory
3207,1013953777,1772,530877.4900000001,BeneficiarySegment3,PaymentSegment1,2,Vascular Surgery
3234,1003889304,5006,398287.44,BeneficiarySegment1,PaymentSegment1,2,Orthopedic Surgery
3264,1003965906,3120,420397.39999999997,BeneficiarySegment2,PaymentSegment1,2,Nephrology
3304,1003871294,6536,533792.5799999998,BeneficiarySegment1,PaymentSegment1,2,Interventional Cardiology
3361,1013228394,4363,451382.09,BeneficiarySegment2,PaymentSegment1,2,Physician Assistant
3394,1003013848,3961,584806.5900000001,BeneficiarySegment2,PaymentSegment1,2,Diagnostic Radiology
3463,1023002862,3101,525789.3,BeneficiarySegment2,PaymentSegment1,2,Diagnostic Radiology
3475,1023005063,3336,421843.45000000007,BeneficiarySegment2,PaymentSegment1,2,Cardiology
3512,1003077652,5289,704985.07,BeneficiarySegment1,PaymentSegment1,2,Dermatology
3546,1003079773,5373,552151.3300000001,BeneficiarySegment1,PaymentSegment1,2,Dermatology
3584,1003805060,5332,596871.5699999998,BeneficiarySegment1,PaymentSegment1,2,Diagnostic Radiology
3657,1013100098,5972,392637.6100000001,BeneficiarySegment1,PaymentSegment1,2,Diagnostic Radiology
3759,1003871104,782,548804.61,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
3767,1013914985,794,623745.77,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
3787,1003018748,2377,463704.9100000001,BeneficiarySegment3,PaymentSegment1,2,Neurosurgery
3818,1013142314,6425,590394.58,BeneficiarySegment1,PaymentSegment1,2,Cardiology
3850,1003952318,6109,621058.29,BeneficiarySegment1,PaymentSegment1,2,Ophthalmology
3876,1003844937,7240,432215.84,BeneficiarySegment1,PaymentSegment1,2,Dermatology
3909,1013195759,2130,617672.92,BeneficiarySegment3,PaymentSegment1,2,Dermatology
3930,1023034774,5524,429101.84,BeneficiarySegment1,PaymentSegment1,2,Cardiology
3959,1003861998,690,409789.72,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
3969,1003855883,5187,551572.39,BeneficiarySegment1,PaymentSegment1,2,Ambulance Service Provider
3975,1023056090,1002,507703.39,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
3982,1013288273,5574,440608.0999999999,BeneficiarySegment1,PaymentSegment1,2,Diagnostic Radiology
4040,1013286285,5279,506793.0799999999,BeneficiarySegment1,PaymentSegment1,2,Diagnostic Radiology
4107,1013997915,1127,627863.06,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
4112,1003886896,6966,660624.97,BeneficiarySegment1,PaymentSegment1,2,Interventional Radiology
4139,1013928886,4640,704259.16,BeneficiarySegment1,PaymentSegment1,2,Neurology
4164,1003836859,3730,682032.84,BeneficiarySegment2,PaymentSegment1,2,Ambulance Service Provider
4168,1003187642,4143,397262.59,BeneficiarySegment2,PaymentSegment1,2,Cardiology
4189,1003872284,5979,413472.29,BeneficiarySegment1,PaymentSegment1,2,Ophthalmology
4211,1003014762,4780,501756.35999999987,BeneficiarySegment1,PaymentSegment1,2,Dermatology
4247,1013098300,3473,592388.8099999999,BeneficiarySegment2,PaymentSegment1,2,Ambulance Service Provider
4254,1003974866,2811,405761.41,BeneficiarySegment2,PaymentSegment1,2,Ambulance Service Provider
4259,1003884669,4280,414279.67000000004,BeneficiarySegment2,PaymentSegment1,2,Pulmonary Disease
4285,1013116805,2486,550207.61,BeneficiarySegment2,PaymentSegment1,2,Cardiology
4326,1013956473,7166,592448.6600000001,BeneficiarySegment1,PaymentSegment1,2,Gastroenterology
4364,1013956697,5864,402766.02,BeneficiarySegment1,PaymentSegment1,2,Clinical Cardiac Electrophysiology
4418,1013999085,3844,498257.63,BeneficiarySegment2,PaymentSegment1,2,Ambulance Service Provider
4421,1013973254,3423,526420.03,BeneficiarySegment2,PaymentSegment1,2,Ophthalmology
4446,1003922592,3952,546709.2499999999,BeneficiarySegment2,PaymentSegment1,2,Dermatology
4495,1013979285,3664,421396.02,BeneficiarySegment2,PaymentSegment1,2,Pain Management
4520,1013227248,1256,394479.79999999993,BeneficiarySegment3,PaymentSegment1,2,Ambulatory Surgical Center
4531,1003819780,1834,395402.00999999995,BeneficiarySegment3,PaymentSegment1,2,Orthopedic Surgery
4545,1003818816,3807,394106.48999999993,BeneficiarySegment2,PaymentSegment1,2,Neurology
4570,1013424092,214,396016.39,BeneficiarySegment5,PaymentSegment1,2,Ambulance Service Provider
4572,1013250620,2884,466901.24000000005,BeneficiarySegment2,PaymentSegment1,2,Ambulance Service Provider
4578,1013979350,6683,548552.69,BeneficiarySegment1,PaymentSegment1,2,Otolaryngology
4599,1003934258,1725,555170.01,BeneficiarySegment3,PaymentSegment1,2,Otolaryngology
4619,1003119470,567,485397.32,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
4634,1023054624,5133,573695.14,BeneficiarySegment1,PaymentSegment1,2,Dermatology
4676,1003876285,7266,414257.05000000005,BeneficiarySegment1,PaymentSegment1,2,Dermatology
4717,1013952589,3046,507538.47,BeneficiarySegment2,PaymentSegment1,2,Ambulance Service Provider
4723,1013141555,4338,527574.84,BeneficiarySegment2,PaymentSegment1,2,Cardiology
4778,1023033883,1846,421103.29,BeneficiarySegment3,PaymentSegment1,2,Dermatology
4802,1013172105,1623,407445.92,BeneficiarySegment3,PaymentSegment1,2,Ophthalmology
4818,1003807835,727,479761.8100000002,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
4840,1003991167,3819,395890.30000000005,BeneficiarySegment2,PaymentSegment1,2,Ophthalmology
4854,1013170125,3323,436255.79999999993,BeneficiarySegment2,PaymentSegment1,2,Dermatology
4892,1003808809,5061,529893.27,BeneficiarySegment1,PaymentSegment1,2,Ophthalmology
4912,1003918228,3576,391986.18,BeneficiarySegment2,PaymentSegment1,2,Internal Medicine
4946,1013989706,3995,453931.54999999993,BeneficiarySegment2,PaymentSegment1,2,Ophthalmology
4959,1003024191,6111,675331.95,BeneficiarySegment1,PaymentSegment1,2,Diagnostic Radiology
5059,1003017468,3313,410143.39999999997,BeneficiarySegment2,PaymentSegment1,2,Ophthalmology
5076,1013966282,3365,516469.2199999999,BeneficiarySegment2,PaymentSegment1,2,Independent Diagnostic Testing Facility (IDTF)
5098,1003805664,5578,392624.9,BeneficiarySegment1,PaymentSegment1,2,Cardiology
5134,1013910942,4743,488786.43,BeneficiarySegment1,PaymentSegment1,2,Ophthalmology
5153,1023015690,4237,582359.13,BeneficiarySegment2,PaymentSegment1,2,Dermatology
5186,1023050895,5242,422267.5700000001,BeneficiarySegment1,PaymentSegment1,2,Diagnostic Radiology
5250,1013009331,2215,412766.07,BeneficiarySegment3,PaymentSegment1,2,Ambulance Service Provider
5257,1003812207,1864,471181.8600000001,BeneficiarySegment3,PaymentSegment1,2,Dermatology
5287,1023057916,955,543931.4400000001,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
5295,1013136456,1593,711461.77,BeneficiarySegment3,PaymentSegment1,2,Ambulatory Surgical Center
5314,1023051372,5848,668062.8099999998,BeneficiarySegment1,PaymentSegment1,2,Interventional Cardiology
5364,1003914151,3985,547038.0700000001,BeneficiarySegment2,PaymentSegment1,2,Ophthalmology
5380,1013171115,231,429212.38999999996,BeneficiarySegment5,PaymentSegment1,2,Ambulance Service Provider
5382,1013162452,4681,399149.4199999999,BeneficiarySegment1,PaymentSegment1,2,Cardiology
5416,1023013158,1223,429923.63000000006,BeneficiarySegment4,PaymentSegment1,2,Vascular Surgery
5445,1003966359,2925,679067.83,BeneficiarySegment2,PaymentSegment1,2,Orthopedic Surgery
5476,1003886946,2735,386851.99,BeneficiarySegment2,PaymentSegment1,2,Diagnostic Radiology
5492,1003036310,1630,507585.61,BeneficiarySegment3,PaymentSegment1,2,Ambulatory Surgical Center
5504,1003168907,1154,637706.7099999998,BeneficiarySegment4,PaymentSegment1,2,Ambulatory Surgical Center
5519,1003851213,5891,494633.27999999985,BeneficiarySegment1,PaymentSegment1,2,Cardiology
5559,1003847500,814,274353.83,BeneficiarySegment4,PaymentSegment2,4,Ambulatory Surgical Center
5570,1013943687,1850,329807.91000000003,BeneficiarySegment3,PaymentSegment2,4,Ambulance Service Provider
5574,1023046695,1438,226072.31,BeneficiarySegment3,PaymentSegment2,4,Ambulance Service Provider
5580,1003932955,2442,239368.3,BeneficiarySegment3,PaymentSegment2,4,Interventional Cardiology
5625,1003011404,2015,285785.45999999996,BeneficiarySegment3,PaymentSegment2,4,Dermatology
5654,1003843178,3494,316945.02,BeneficiarySegment2,PaymentSegment2,4,Ophthalmology
5671,1003843681,2869,281512.1099999999,BeneficiarySegment2,PaymentSegment2,4,Orthopedic Surgery
5702,1003151671,3099,332998.44000000006,BeneficiarySegment2,PaymentSegment2,4,Independent Diagnostic Testing Facility (IDTF)
5747,1003843905,2871,230000.77999999997,BeneficiarySegment2,PaymentSegment2,4,Cardiology
5771,1023047297,2144,205232.43,BeneficiarySegment3,PaymentSegment2,4,Gastroenterology
5783,1003814328,1680,279163.86,BeneficiarySegment3,PaymentSegment2,4,Ambulance Service Provider
5789,1013996859,3003,208614.92999999993,BeneficiarySegment2,PaymentSegment2,4,Urology
5827,1003842618,3656,219525.29,BeneficiarySegment2,PaymentSegment2,4,Dermatology
5844,1023044658,3156,276175.3999999999,BeneficiarySegment2,PaymentSegment2,4,Ophthalmology
5858,1013150481,4033,290071.36,BeneficiarySegment2,PaymentSegment2,4,Anesthesiology
5886,1013935154,3770,252397.65,BeneficiarySegment2,PaymentSegment2,4,Cardiology
5919,1003954876,3881,261977.40000000002,BeneficiarySegment2,PaymentSegment2,4,Pulmonary Disease
5949,1013920867,2259,251352.64999999997,BeneficiarySegment3,PaymentSegment2,4,Ophthalmology
5968,1003179433,3540,271985.63999999996,BeneficiarySegment2,PaymentSegment2,4,Optometry
5973,1003843038,4002,282978.29,BeneficiarySegment2,PaymentSegment2,4,Ophthalmology
5990,1003817602,1396,212232.97999999998,BeneficiarySegment3,PaymentSegment2,4,Orthopedic Surgery
6013,1013939693,1916,205364.49999999997,BeneficiarySegment3,PaymentSegment2,4,Orthopedic Surgery
6030,1013937564,2508,268880.83999999997,BeneficiarySegment2,PaymentSegment2,4,Neurology
6042,1003170366,1997,268277.59,BeneficiarySegment3,PaymentSegment2,4,Ophthalmology
6051,1003817230,2256,211059.35000000006,BeneficiarySegment3,PaymentSegment2,4,Diagnostic Radiology
6086,1013042944,2535,218123.00000000003,BeneficiarySegment2,PaymentSegment2,4,Cardiology
6126,1013914001,3711,347394.95999999996,BeneficiarySegment2,PaymentSegment2,4,Cardiology
6163,1013284801,4236,200400.8,BeneficiarySegment2,PaymentSegment2,1,Podiatry
6196,1023055118,1987,314986.83,BeneficiarySegment3,PaymentSegment2,4,Ambulance Service Provider
6202,1003876996,2920,275786.14999999997,BeneficiarySegment2,PaymentSegment2,4,Ophthalmology
6218,1013917103,3537,253331.27000000008,BeneficiarySegment2,PaymentSegment2,4,Urology
6256,1003934449,2022,213191.18999999997,BeneficiarySegment3,PaymentSegment2,4,Clinical Cardiac Electrophysiology
6288,1013178227,3461,243361.76000000007,BeneficiarySegment2,PaymentSegment2,4,Urology
6321,1003844242,3786,224533.48,BeneficiarySegment2,PaymentSegment2,4,Diagnostic Radiology
6389,1013939487,2398,312087.05,BeneficiarySegment3,PaymentSegment2,4,Orthopedic Surgery
6406,1013000769,2870,213834.68,BeneficiarySegment2,PaymentSegment2,4,Orthopedic Surgery
6446,1023045101,3013,381538.0800000001,BeneficiarySegment2,PaymentSegment2,4,Vascular Surgery
6468,1003105529,3053,203350.77000000005,BeneficiarySegment2,PaymentSegment2,4,Orthopedic Surgery
6505,1003843202,3938,284501.51,BeneficiarySegment2,PaymentSegment2,4,Internal Medicine
6534,1013182898,3673,324880.82000000007,BeneficiarySegment2,PaymentSegment2,4,Interventional Cardiology
6587,1003120213,2943,306119.14999999997,BeneficiarySegment2,PaymentSegment2,4,General Surgery
6609,1003999756,3347,218408.61999999997,BeneficiarySegment2,PaymentSegment2,4,Optometry
6625,1013950609,1482,301707.54000000004,BeneficiarySegment3,PaymentSegment2,4,Diagnostic Radiology
6658,1013178805,2649,201347.63999999998,BeneficiarySegment2,PaymentSegment2,4,Cardiology
6678,1013237676,2394,237828.74999999997,BeneficiarySegment3,PaymentSegment2,4,Ophthalmology
6694,1003995291,3493,203276.36999999997,BeneficiarySegment2,PaymentSegment2,4,Dermatology
6721,1013126341,2371,222930.52000000005,BeneficiarySegment3,PaymentSegment2,4,Vascular Surgery
6753,1003984303,2762,213711.70000000004,BeneficiarySegment2,PaymentSegment2,4,Ophthalmology
6771,1013129725,1535,200733.69,BeneficiarySegment3,PaymentSegment2,1,Ophthalmology
6786,1013960210,3846,283967.81999999995,BeneficiarySegment2,PaymentSegment2,4,Otolaryngology
6817,1013181916,3441,202014.91999999998,BeneficiarySegment2,PaymentSegment2,4,Dermatology
6837,1003986514,2525,212181.56999999998,BeneficiarySegment2,PaymentSegment2,4,Orthopedic Surgery
6868,1003808361,3918,220241.86999999997,BeneficiarySegment2,PaymentSegment2,4,Dermatology
6893,1013136340,2084,212525.1,BeneficiarySegment3,PaymentSegment2,4,Pain Management
6922,1013129147,1327,241581.43,BeneficiarySegment3,PaymentSegment2,4,Ambulance Service Provider
6926,1003113010,3036,262513.36999999994,BeneficiarySegment2,PaymentSegment2,4,Independent Diagnostic Testing Facility (IDTF)
6984,1003870825,372,216473.73000000004,BeneficiarySegment5,PaymentSegment2,4,Ambulatory Surgical Center
6998,1013181833,4186,281542.5399999999,BeneficiarySegment2,PaymentSegment2,4,Clinical Cardiac Electrophysiology
7047,1003990656,3405,241456.8,BeneficiarySegment2,PaymentSegment2,4,Internal Medicine
7069,1013989441,3744,325707.07,BeneficiarySegment2,PaymentSegment2,4,Ophthalmology
7089,1003048943,1217,279840.88,BeneficiarySegment4,PaymentSegment2,4,Cardiology
7106,1003360785,1746,226965.05,BeneficiarySegment3,PaymentSegment2,4,Clinical Laboratory
7110,1003323353,831,257726.13,BeneficiarySegment4,PaymentSegment2,4,Ambulatory Surgical Center
7118,1003806928,3871,255413.56000000006,BeneficiarySegment2,PaymentSegment2,4,Dermatology
7147,1013275478,2348,222703.51,BeneficiarySegment3,PaymentSegment2,4,Ophthalmology
7166,1013203561,1411,227808.40999999997,BeneficiarySegment3,PaymentSegment2,4,Nephrology
7189,1003033838,947,249585.00000000003,BeneficiarySegment4,PaymentSegment2,4,Dermatology
7208,1003995689,3312,233817.32000000004,BeneficiarySegment2,PaymentSegment2,4,Pulmonary Disease
7234,1003972548,2655,358786.94999999995,BeneficiarySegment2,PaymentSegment2,4,Ophthalmology
7250,1003253634,2491,310419.79,BeneficiarySegment2,PaymentSegment2,4,Ophthalmology
7277,1013117688,1287,240161.59000000005,BeneficiarySegment3,PaymentSegment2,4,Neurosurgery
7302,1023003456,2558,340249.94999999995,BeneficiarySegment2,PaymentSegment2,4,Hematology-Oncology
7368,1013270875,2515,212092.19000000003,BeneficiarySegment2,PaymentSegment2,4,Pain Management
7410,1003027392,1072,305166.73999999993,BeneficiarySegment4,PaymentSegment2,4,Neurosurgery
7427,1013114628,2397,248632.8,BeneficiarySegment3,PaymentSegment2,4,Ophthalmology
7441,1013195650,2353,231247.39,BeneficiarySegment3,PaymentSegment2,4,Gastroenterology
7460,1013991165,701,210007.45,BeneficiarySegment4,PaymentSegment2,4,Ophthalmology
7465,1013031996,3628,308304.19,BeneficiarySegment2,PaymentSegment2,4,Urology
7497,1003811225,4037,229418.06,BeneficiarySegment2,PaymentSegment2,4,Cardiology
7520,1013024488,3246,280803.67,BeneficiarySegment2,PaymentSegment2,4,Diagnostic Radiology
7538,1013126440,1406,301715.56,BeneficiarySegment3,PaymentSegment2,4,Radiation Oncology
7561,1013139583,1284,224229.84,BeneficiarySegment3,PaymentSegment2,4,Ambulance Service Provider
7565,1013199868,1954,244166.39999999997,BeneficiarySegment3,PaymentSegment2,4,Dermatology
7595,1003082660,2905,239183.25999999998,BeneficiarySegment2,PaymentSegment2,4,Infectious Disease
7611,1013034800,2732,290332.68,BeneficiarySegment2,PaymentSegment2,4,Radiation Oncology
7638,1013138650,1294,224746.33000000002,BeneficiarySegment3,PaymentSegment2,4,Ambulance Service Provider
7641,1013957133,3963,299180.14999999997,BeneficiarySegment2,PaymentSegment2,4,Dermatology
